# device,NVIDIA GB10,cc,12.1,SMs,48,L2_bytes,25165824,cold_mult,4,torch,2.13.0+cu130,backend,native,cuda_graph,True,rounds,3,peak_alloc_GiB,1.475
shape,k,n,m,arm,bits,variant,n_rot,graph_calls,us_median,us_r1,us_r2,us_r3,bytes_per_call,gbs,ratio_vs_bf16_linear,calls_per_step,note
f_a_proj  replicated,4096,128,8,exl3,4,coldA,96,384,6.816,6.814,6.816,6.821,338176,49.6,0.8007,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,8,exl3,4,coldB,384,384,7.246,9.208,7.246,7.232,338176,46.7,0.8534,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,64,exl3,4,warm,1,384,9.180,9.180,9.179,9.182,811264,88.4,1.4417,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,64,exl3,4,coldA,96,384,12.346,12.346,14.490,12.268,811264,65.7,1.5566,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,64,exl3,4,coldB,384,384,12.815,14.363,12.815,12.514,811264,63.3,1.6257,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,1,exl3,5,warm,1,384,6.972,6.972,6.972,6.972,344576,49.4,2.2381,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,1,exl3,5,coldA,96,384,9.356,9.705,9.356,8.569,344576,36.8,1.5813,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,1,exl3,5,coldB,384,384,9.581,8.708,9.807,9.581,344576,36.0,1.6133,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,8,exl3,5,warm,1,384,7.134,7.134,7.132,7.145,403712,56.6,1.5567,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,8,exl3,5,coldA,96,384,8.746,9.099,8.743,8.746,403712,46.2,1.0273,0,"in_proj half, 128 wide"
f_a_proj  replicated,4096,128,8,exl3,5,coldB,384,384,9.261,10.528,9.261,8.861,403712,43.6,1.0909,0,"in_proj half, 128 wide"
